algo genetique
makespan : 972.000000 
makespan : 994.000000 
makespan : 985.000000 
makespan : 999.000000 
makespan : 1008.000000 
makespan : 988.000000 
makespan : 982.000000 
makespan : 995.000000 
makespan : 993.000000 
makespan : 1026.000000 
makespan : 1001.000000 
makespan : 979.000000 
makespan : 982.000000 
makespan : 998.000000 
makespan : 1016.000000 
makespan : 979.000000 
makespan : 979.000000 
makespan : 995.000000 
makespan : 999.000000 
makespan : 976.000000 
makespan : 1028.000000 
makespan : 1019.000000 
makespan : 982.000000 
makespan : 1010.000000 
makespan : 994.000000 
makespan : 980.000000 
makespan : 982.000000 
makespan : 979.000000 
makespan : 990.000000 
makespan : 982.000000 

1m16
