algo memetique
makespan : 988.000000 
makespan : 985.000000 
makespan : 982.000000 
makespan : 1003.000000 
makespan : 1043.000000 
makespan : 982.000000 
makespan : 995.000000 
makespan : 1007.000000 
makespan : 995.000000 
makespan : 1016.000000 
makespan : 1016.000000 
makespan : 1016.000000 
makespan : 1010.000000 
makespan : 1001.000000 
makespan : 982.000000 
makespan : 978.000000 
makespan : 997.000000 
makespan : 1005.000000 
makespan : 1028.000000 
makespan : 1012.000000 
makespan : 979.000000 
makespan : 1033.000000 
makespan : 999.000000 
makespan : 979.000000 
makespan : 1008.000000 
makespan : 1001.000000 
makespan : 1005.000000 
makespan : 1011.000000 
makespan : 995.000000 
makespan : 1011.000000 

1m21
