# abs   ord
40 50
40 69
45 70
40 50


40 50
42 65
40 66
40 50


40 50
38 70
42 68
40 50


40 50
38 68
35 66
40 50


40 50
35 69
45 68
40 50


40 50
20 85
22 85
40 50


40 50
22 75
18 75
40 50


40 50
15 75
25 85
40 50


40 50
15 80
20 80
40 50


40 50
30 50
25 50
40 50


40 50
25 52
23 52
40 50


40 50
23 55
28 52
40 50


40 50
20 50
25 55
40 50


40 50
20 55
30 52
40 50


40 50
10 40
10 35
40 50


40 50
8 40
2 40
40 50


40 50
0 40
8 45
40 50


40 50
5 35
0 45
40 50


40 50
33 32
35 30
40 50


40 50
33 35
35 32
40 50


40 50
32 30
30 32
40 50


40 50
30 30
28 30
40 50


40 50
28 35
30 35
40 50


40 50
26 32
25 35
40 50


40 50
40 15
42 15
40 50


40 50
44 5
38 5
40 50


40 50
40 5
38 15
40 50


40 50
42 10
35 5
40 50


40 50
47 40
50 30
40 50


40 50
50 35
45 30
40 50


40 50
47 35
45 35
40 50


40 50
48 40
53 30
40 50


40 50
50 40
53 35
40 50


40 50
42 66
45 65
40 50


40 50
90 35
92 30
40 50


40 50
95 35
88 30
40 50


40 50
87 30
85 25
40 50


40 50
85 35
95 30
40 50


40 50
75 55
68 60
40 50


40 50
65 55
72 55
40 50


40 50
70 58
63 58
40 50


40 50
60 55
65 60
40 50


40 50
66 55
60 60
40 50


40 50
67 85
65 85
40 50


40 50
60 80
65 82
40 50


40 50
58 75
62 80
40 50


40 50
55 85
55 80
40 50


40 50
25 30
25 30
40 50


40 50
48 30
48 30
40 50


40 50
28 55
28 55
40 50


40 50
88 35
88 35
40 50


40 50
5 45
5 45
40 50


40 50
60 85
60 85
40 50


